cliente0,"Calendarios ecológicos y productos de papel reciclado, Mochilas sostenibles hechas de materiales reciclados, Linternas solares recargables, Alimentos orgánicos, como frutas, verduras y granos, Cargadores solares para dispositivos móviles"

cliente1,"Lámparas LED de bajo consumo de energía, Cremas faciales sin parabenos ni productos químicos, Calcetines de fibra de bambú, Lámparas LED de bajo consumo de energía"

cliente2,"Paneles solares para instalación en viviendas, Vaqueros hechos con materiales reciclados"

cliente3,"Mochilas sostenibles hechas de materiales reciclados, Juegos de cubiertos de acero inoxidable, Alimentos orgánicos, como frutas, verduras y granos"

cliente4,"Jabones artesanales de ingredientes naturales, Bolsos de cuero vegano, Equipos de escalada seguros y duraderos, Detergente multiuso natural, Lámparas LED de bajo consumo de energía"

cliente5,"Tiendas de campaña respetuosas con el medio ambiente, Cremas faciales sin parabenos ni productos químicos, Juegos de cubiertos de acero inoxidable"

cliente6,"Champú y acondicionador orgánicos, Auriculares bluetooth recargables"

cliente7,"Alimentos orgánicos, como frutas, verduras y granos, Linternas solares recargables, Libros sobre sostenibilidad y conservación ambiental, Muebles de madera certificada por el FSC"

cliente8,"Bolsos de cuero vegano, Jabones artesanales de ingredientes naturales"

cliente9,"Cepillo de dientes de bambú, Detergente multiuso natural, Guías prácticas para un estilo de vida más ecológico, Bolsos de cuero vegano, Lámparas LED de bajo consumo de energía"

cliente10,"Ropa de baño hecha de telas recicladas, Linternas solares recargables, Productos de granjas locales y comercio justo, Detergente multiuso natural"

cliente11,"Cremas faciales sin parabenos ni productos químicos, Auriculares bluetooth recargables, Mochilas sostenibles hechas de materiales reciclados, Cargadores solares para dispositivos móviles, Lámparas LED de bajo consumo de energía"

cliente12,"Detergente multiuso natural, Bolsos de cuero vegano, Tiendas de campaña respetuosas con el medio ambiente, Guías prácticas para un estilo de vida más ecológico, Ropa para actividades al aire libre hecha de telas sostenibles"

cliente13,"Guías prácticas para un estilo de vida más ecológico, Productos de granjas locales y comercio justo, Muebles de madera certificada por el FSC"

cliente14,"Cepillo de dientes de bambú, Vaqueros hechos con materiales reciclados, Calendarios ecológicos y productos de papel reciclado, Equipos de escalada seguros y duraderos"

cliente15,"Camisetas de algodón orgánico, Detergente multiuso natural"

cliente16,"DVDs de documentales ambientales, Portátiles con diseño eficiente en términos de energía, Lámparas LED de bajo consumo de energía, Cremas faciales sin parabenos ni productos químicos"

cliente17,"Ropa de baño hecha de telas recicladas, Jabones artesanales de ingredientes naturales, Vaqueros hechos con materiales reciclados, Detergente multiuso natural"

cliente18,"Botellas de agua reutilizables, Calendarios ecológicos y productos de papel reciclado, Materiales educativos para niños sobre el medio ambiente, Linternas solares recargables"

cliente19,"Guías prácticas para un estilo de vida más ecológico, Champú y acondicionador orgánicos, Equipos de escalada seguros y duraderos"

cliente20,"Linternas solares recargables, Ropa de baño hecha de telas recicladas, Juegos de cubiertos de acero inoxidable, Camisetas de algodón orgánico, Mochilas sostenibles hechas de materiales reciclados"

cliente21,"Jabones artesanales de ingredientes naturales, Productos de granjas locales y comercio justo, Sartenes antiadherentes libres de productos químicos"

cliente22,"Champú y acondicionador orgánicos, Calcetines de fibra de bambú, Botellas de agua reutilizables"

cliente23,"Tiendas de campaña respetuosas con el medio ambiente, Calendarios ecológicos y productos de papel reciclado, Juegos de cubiertos de acero inoxidable, Alimentos orgánicos, como frutas, verduras y granos"

cliente24,"Cargadores solares para dispositivos móviles, Materiales educativos para niños sobre el medio ambiente, Calcetines de fibra de bambú, DVDs de documentales ambientales"

cliente25,"Paneles solares para instalación en viviendas, Tiendas de campaña respetuosas con el medio ambiente, Cargadores solares para dispositivos móviles"

cliente26,"Auriculares bluetooth recargables, Lámparas LED de bajo consumo de energía, Sartenes antiadherentes libres de productos químicos"

cliente27,"Ropa de baño hecha de telas recicladas, Linternas solares recargables"

cliente28,"Calcetines de fibra de bambú, Camisetas de algodón orgánico"

cliente29,"Detergente multiuso natural, Lámparas LED de bajo consumo de energía, Paneles solares para instalación en viviendas"

cliente30,"Ropa para actividades al aire libre hecha de telas sostenibles, Equipos de escalada seguros y duraderos, Lámparas LED de bajo consumo de energía"

cliente31,"Muebles de madera certificada por el FSC, DVDs de documentales ambientales, Cepillos de cabello de bambú, Detergente multiuso natural"

cliente32,"Ropa de baño hecha de telas recicladas, DVDs de documentales ambientales, Cremas faciales sin parabenos ni productos químicos"

